1 16613U          86053.07627914 -.00000008  00000+0  00000+0 0    05
1 16613U 86019A   86085.06752488  .00000278  00000-0  13916-3 0   483
2 16613  98.7305 160.6771 0001282 149.0355 211.1037 14.20029480  4547
1 16613U 86019A   86086.05397260  .00001595  00000-0  75822-3 0   494
2 16613  98.7300 161.6515 0001310 149.4850 210.6396 14.20030331  4689
1 16613U 86019A   86086.89950056  .00001596  00000-0  75821-3 0   506
2 16613  98.7302 162.4858 0001221 144.1206 216.0070 14.20033366  4802
1 16613U 86019A   86087.95640746  .00001596  00000-0  75821-3 0   517
2 16613  98.7284 163.5278 0001513 149.8559 210.2523 14.20031640  4954
1 16613U 86019A   86089.01332049  .00001595  00000-0  75821-3 0   531
2 16613  98.7270 164.5720 0001515 139.0710 221.0474 14.20033063  5108
1 16613U 86019A   86089.50654581  .00001596  00000-0  75821-3 0   545
2 16613  98.7281 165.0581 0001332 141.5710 218.5442 14.20028987  5178
1 16613U 86019A   86089.99977337  .00001596  00000-0  75821-3 0   556
2 16613  98.7287 165.5433 0001429 145.0798 215.0548 14.20033187  5242
1 16613U 86019A   86090.91575848  .00001595  00000-0  75821-3 0   561
2 16613  98.7277 166.4476 0001465 147.8113 212.2981 14.20032673  5372
1 16613U 86019A   86091.97266967  .00001597  00000-0  75821-3 0   570
2 16613  98.7281 167.4908 0001525 147.2967 212.8202 14.20033698  5523
1 16613U 86019A   86092.88865793  .00001596  00000-0  75821-3 0   583
2 16613  98.7279 168.3947 0001575 142.6352 217.4802 14.20034066  5656
1 16613U 86019A   86093.94556732  .00001595  00000-0  75821-3 0   591
2 16613  98.7282 169.4377 0001569 138.9495 221.1607 14.20033970  5803
1 16613U 86019A   86095.00247794  .00001595  00000-0  75821-3 0   607
2 16613  98.7284 170.4801 0001947 130.9562 229.1495 14.20017548  5958
1 16613U 86019A   86095.98894147  .00000198  00000-0  97448-4 0   613
2 16613  98.7281 171.4532 0001613 139.4438 220.7291 14.20030311  6093
1 16613U 86019A   86096.83446160  .00000015  00000-0  11207-4 0   624
2 16613  98.7283 172.2870 0001609 135.2605 224.8711 14.20030473  6219
1 16613U 86019A   86097.96183282  .00000015  00000-0  11207-4 0   633
2 16613  98.7282 173.4004 0001738 133.2345 226.9026 14.20030830  6378
1 16613U 86019A   86098.94828161  .00001256  00000-0  59906-3 0   640
2 16613  98.7244 174.3714 0002053 137.4169 222.7159 14.20032509  6517
1 16613U 86019A   86100.00519007  .00000069  00000-0  36645-4 0   655
2 16613  98.7281 175.4152 0001769 132.4000 227.7227 14.20030321  6665
1 16613U 86019A   86100.99164206  .00008832  00000-0  41595-2 0   665
2 16613  98.7272 176.3901 0001760 128.8499 231.2569 14.20030387  6806
1 16613U 86019A   86101.83717144  .00008834  00000-0  41595-2 0   677
2 16613  98.7278 177.2231 0001541 135.7433 224.3550 14.20033774  6929
1 16613U 86019A   86102.96453853  .00085430  00000-0  40145-1 0   683
2 16613  98.7271 178.3337 0001676 128.4274 231.6101 14.20046770  7083
1 16613U 86019A   86103.81003300  .00096742  00000-0  45485-1 0   697
2 16613  98.7264 179.1684 0001694 119.0081 240.8247 14.20017794  7202
1 16613U 86019A   86103.95101308  .00008833  00000-0  41594-2 0   703
2 16613  98.7269 179.3076 0001838 131.1060 229.0346 14.20029172  7220
1 16613U 86019A   86104.86699663  .00008832  00000-0  41594-2 0   710
2 16613  98.7263 180.2123 0001734 124.0641 236.0214 14.20027307  7353
1 16613U 86019A   86105.92391227  .00008829  00000-0  41594-2 0   720
2 16613  98.7292 181.2531 0001585 128.1235 231.9492 14.20009125  7504
1 16613U 86019A   86106.91038260  .00008832  00000-0  41594-2 0   730
2 16613  98.7255 182.2285 0001886 129.8466 230.3193 14.20025795  7645
1 16613U 86019A   86107.89682364  .00000002  00000-0  49999-5 0   740
2 16613  98.7256 183.2014 0001812 126.6747 233.4241 14.20022828  7780
1 16613U 86019A   86108.95374702  .00000001  00000-0  49999-5 0   752
2 16613  98.7260 184.2434 0001793 123.6257 236.5126 14.20022534  7930
1 16613U 86019A   86110.01066296  .00000002  00000-0  49999-5 0   760
2 16613  98.7261 185.2862 0001838 125.0209 235.1208 14.20023202  8086
1 16613U 86019A   86110.92665604  .00000001  00000-0  49999-5 0   778
2 16613  98.7279 186.1891 0001679 131.9543 228.1805 14.20014217  8213
